I charge it at night and skip taking the cord with me because of the good battery life.	cord	1
I charge it at night and skip taking the cord with me because of the good battery life.	battery life	2
The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.	service center	0
The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.	"sales" team	0
The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.	tech guy	1
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	quality	2
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	GUI	2
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	applications	2
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	use	2
Easy to start up and does not overheat as much as other laptops.	start up	2
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	features	2
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	iChat	2
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	Photobooth	2
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	garage band	2
Great laptop that offers many great features!	features	2
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	GUI	0
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	screen	0
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	power light	1
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	hard drive light	0
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.	battery	1
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	rubber enclosure	2
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	edge	0
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	multi-touch gestures	2
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	tracking area	2
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	external mouse	1
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	gaming	1
I love the way the entire suite of software works together.	suite of software	2
The speed is incredible and I am more than satisfied.	speed	2
This laptop meets every expectation and Windows 7 is great!	Windows 7	2
I can barely use any usb devices because they will not stay connected properly.	usb devices	0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.	software	1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.	system	0
One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.	Microsoft office for the mac	0
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.	syncing	2
I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!	30" HD Monitor	2
I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!	screen	1
The machine is slow to boot up and occasionally crashes completely.	boot up	0
After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.	service	0
I love the operating system and the preloaded software.	operating system	2
I love the operating system and the preloaded software.	preloaded software	2
The best thing about this laptop is the price along with some of the newer features.	price	2
The best thing about this laptop is the price along with some of the newer features.	features	2
After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).	clock in BIOS setup	0
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.	WARRANTY SERVICE	0
but now i have realized its a problem with this brand.	brand	0
I sent it back to Toshiba twice they covered it under the  warranty.	warranty	2
I was looking for a mac which is portable and has all the features that I was looking for.	features	2
Also kinda loud when the fan was running.	fan	0
In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").	Customer Service number	1
In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").	warranty	0
In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").	talking to a technician	0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.	hard disc	0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.	windows	0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.	drivers	1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.	Drivers	2
Drivers updated ok but the BIOS update froze the system up and the computer shut down.	BIOS update	0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.	system	0
Spent 2 hours on phone with HP Technical Support.	HP Technical Support	1
Speaking of the browser, it too has problems.	browser	0
The keyboard is too slick.	keyboard	0
Nightly my computer defrags itself and runs a virus scan.	virus scan	1
It's like 9 punds, but if you can look past it, it's GREAT!	9 punds	0
It's just as fast with one program open as it is with sixteen open.	program	1
Still under warrenty so called Toshiba, no help at all.	warrenty	0
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	Toshiba Warranty	0
Amazing Quality!	Quality	2
The fact that you can spend over $100 on just a webcam underscores the value of this machine.	webcam	1
The fact that you can spend over $100 on just a webcam underscores the value of this machine.	value	2
I mainly use it for email, internet, and managing personal files (pics, vids, etc.).	internet	1
I mainly use it for email, internet, and managing personal files (pics, vids, etc.).	managing personal files	1
A month or so ago, the freaking motherboard just died.	motherboard	0
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	system	0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	charger	0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	hardware	0
If a website ever freezes (which is rare), its really easy to force quit.	force quit	2
It rarely works and when it does it's incredibly slow.	works	0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.	Windows 7	2
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.	VMWare program	1
It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!	operating system	2
It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!	runs	2
It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!	navigate	2
It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!	find files	2
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.	warrenty	0
I wanted to purchase the extended warranty and they refused, because they knew it was trouble.	extended warranty	1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.	memory	1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.	speed	2
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.	performace	2
The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.	opening my Documents folder	0
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.	operating systems	0
Then, within 5 months, the charger crapped out on me.	charger	0
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.	speed	2
I love the glass touchpad.	glass touchpad	2
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.	hard drive	0
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.	mother board	0
I am using the external speaker- sound is good.	external speaker	2
I am using the external speaker- sound is good.	sound	2
still testing the battery life as i thought it would be better, but am very happy with the upgrade.	battery life	0
Then HP sends it back to me with the hardware screwed up, not able to connect.	hardware	0
Oh yeah, don't forget the expensive shipping to and from HP.	shipping	0
Everything is so easy to use, Mac software is just so much simpler than Microsoft software.	Mac software	2
Everything is so easy to use, Mac software is just so much simpler than Microsoft software.	Microsoft software	0
Everything is so easy to use, Mac software is just so much simpler than Microsoft software.	use	2
And if you do a lot of writing, editing is a problem since there is no  forward delete  key.	delete  key	0
And if you do a lot of writing, editing is a problem since there is no  forward delete  key.	editing	0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	use	2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	service	2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	phone assistance	2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	genius bar	2
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	battery life	2
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	battery life	2
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	gaming	1
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	movie playing	1
