I charge it at night and skip taking the cord with me because of the good battery life.	battery life	1
The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.	service center	0
The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.	"sales" team	0
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	quality	1
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	GUI	1
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	applications	1
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.	use	1
Easy to start up and does not overheat as much as other laptops.	start up	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	features	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	iChat	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	Photobooth	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	garage band	1
Great laptop that offers many great features!	features	1
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	GUI	0
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	screen	0
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	hard drive light	0
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	rubber enclosure	1
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).	edge	0
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	multi-touch gestures	1
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	tracking area	1
I love the way the entire suite of software works together.	suite of software	1
The speed is incredible and I am more than satisfied.	speed	1
This laptop meets every expectation and Windows 7 is great!	Windows 7	1
I can barely use any usb devices because they will not stay connected properly.	usb devices	0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.	system	0
One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.	Microsoft office for the mac	0
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.	syncing	1
I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!	30" HD Monitor	1
The machine is slow to boot up and occasionally crashes completely.	boot up	0
After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.	service	0
I love the operating system and the preloaded software.	operating system	1
I love the operating system and the preloaded software.	preloaded software	1
The best thing about this laptop is the price along with some of the newer features.	price	1
The best thing about this laptop is the price along with some of the newer features.	features	1
