But the staff was so horrible to us.	staff	0
To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	1
The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	1
The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	kitchen	1
Not only was the food outstanding, but the little 'perks' were great.	food	1
Not only was the food outstanding, but the little 'perks' were great.	perks	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	orrechiete with sausage and chicken	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	waiters	1
The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	Bagels	1
Nevertheless the food itself is pretty good.	food	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	toast	0
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	mayonnaise	0
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	bacon	0
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	ingredients	0
The design and atmosphere is just as good.	design	1
The design and atmosphere is just as good.	atmosphere	1
He has visited Thailand and is quite expert on the cuisine.	cuisine	1
The pizza is the best if you like thin crusted pizza.	pizza	1
All the money went into the interior decoration, none of it went to the chefs.	interior decoration	1
All the money went into the interior decoration, none of it went to the chefs.	chefs	0
The seats are uncomfortable if you are sitting against the wall on wooden benches.	seats	0
Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	pickles	1
Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	selection of meats and seafoods	1
My suggestion is to eat family style because you'll want to try the other dishes.	eat family style	1
Best of all is the warm vibe, the owner is super friendly and service is fast.	vibe	1
Best of all is the warm vibe, the owner is super friendly and service is fast.	owner	1
Best of all is the warm vibe, the owner is super friendly and service is fast.	service	1
Faan's got a great concept but a little rough on the delivery.	delivery	0
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	food	1
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	atmosphere	1
From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	service	1
Great food at REASONABLE prices, makes for an evening that can't be beat!	food	1
Great food at REASONABLE prices, makes for an evening that can't be beat!	prices	1
this little place has a cute interior decor and affordable city prices.	interior decor	1
this little place has a cute interior decor and affordable city prices.	prices	1
Two words: Free wine.	wine	1
The price is reasonable although the service is poor.	price	1
The price is reasonable although the service is poor.	service	0
The quantity is also very good, you will come out satisfied.	quantity	1
The fried rice is amazing here.	fried rice	1
Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	mussels	1
Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	puff pastry goat cheese	1
Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	salad with a delicious dressing	1
Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	hanger steak au poivre	1
it's a perfect place to have a amanzing indian food.	indian food	1
The place is so cool and the service is prompt and curtious.	service	1
The place is so cool and the service is prompt and curtious.	place	1
At the end you're left with a mild broth with noodles that you can slurp out of a cup.	broth with noodles	1
I just wonder how you can have such a delicious meal for such little money.	meal	1
I just wonder how you can have such a delicious meal for such little money.	money	1
The wine list is excellent.	wine list	1
Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	Thai food	1
This is a consistently great place to dine for lunch or dinner.	dine	1
Nice atmosphere, the service was very pleasant and the desert was good.	atmosphere	1
Nice atmosphere, the service was very pleasant and the desert was good.	service	1
Nice atmosphere, the service was very pleasant and the desert was good.	desert	1
After really enjoying ourselves at the bar we sat down at a table and had dinner.	bar	1
Fabulous service, fantastic food, and a chilled out atmosphere and environment.	service	1
Fabulous service, fantastic food, and a chilled out atmosphere and environment.	food	1
Fabulous service, fantastic food, and a chilled out atmosphere and environment.	atmosphere	1
Fabulous service, fantastic food, and a chilled out atmosphere and environment.	environment	1
Try the lasagnette appetizer.	lasagnette appetizer	1
I liked the beer selection!	beer selection	1
Great food, good size menu, great service and an unpretensious setting.	food	1
Great food, good size menu, great service and an unpretensious setting.	menu	1
Great food, good size menu, great service and an unpretensious setting.	service	1
Great food, good size menu, great service and an unpretensious setting.	setting	1
Go here for a romantic dinner but not for an all out wow dining experience.	dinner	1
Go here for a romantic dinner but not for an all out wow dining experience.	dining	1
Wine list selection is good and wine-by-the-glass was generously filled to the top.	Wine list selection	1
Wine list selection is good and wine-by-the-glass was generously filled to the top.	wine-by-the-glass	1
With the great variety on the menu , I eat here often and never get bored .	menu	1
The menu is very limited - i think we counted 4 or 5 entrees.	menu	0
The menu is very limited - i think we counted 4 or 5 entrees.	entrees	0
The menu is limited but almost all of the dishes are excellent.	menu	0
The menu is limited but almost all of the dishes are excellent.	dishes	1
Not too crazy about their sake martini.	sake martini	0
Great bagels, spreads and a good place to hang out in.	bagels	1
Great bagels, spreads and a good place to hang out in.	spreads	1
Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food	1
We always have a delicious meal and always leave feeling satisfied.	meal	1
First went here to enjoy their garden terrace.	garden terrace	1
The pizza was pretty good and huge.	pizza	1
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.	atmosphere	1
They are often crowded on the weekends but they are efficient and accurate with their service.	service	1
They are often crowded on the weekends but they are efficient and accurate with their service.	crowded	0
